time,x,y,filename,fringe,rx,ry,angle,cluster,,,Area of ellipse,
0.06683514,351,19,06240913_proc_01005.png,3.389471769,55,38,169.842129,7,,,6565.928646,1005
0.067433664,350,16,06240913_proc_01014.png,3.871404171,57,40,165.6642662,7,,,7162.83125,1014
0.067500166,354,24,06240913_proc_01015.png,3.906479359,54,38,163.4010062,7,,,6446.548125,1015
0.06809869,349,25,06240913_proc_01024.png,2.950695515,49,34,165.4531365,7,,,5233.893361,1024
0.068165193,349,22,06240913_proc_01025.png,3.502715826,54,40,165.8136399,7,,,6785.840132,1025
0.068697214,346,28,06240913_proc_01033.png,2.939292669,54,33,164.9636801,7,,,5598.318109,1033
0.06936224,347,20,06240913_proc_01043.png,3.865647554,55,37,161.7540922,7,,,6393.14105,1043
0.069428742,357,26,06240913_proc_01044.png,3.64704895,57,38,162.0754765,7,,,6804.689688,1044
0.07188934,350,36,06240913_proc_01081.png,3.499515057,58,34,178.4811479,7,,,6195.220713,1081
0.072221853,362,33,06240913_proc_01086.png,3.769087791,58,42,179.6142651,7,,,7652.919704,1086
0.072288355,363,24,06240913_proc_01087.png,3.692692518,61,45,177.7439516,7,,,8623.671834,1087
0.072554366,351,28,06240913_proc_01091.png,4.102074146,56,37,178.2881822,7,,,6509.379978,1091
0.073219392,355,22,06240913_proc_01101.png,4.242629528,52,37,168.5769603,7,,,6044.424266,1101
0.073285895,362,29,06240913_proc_01102.png,3.809593678,49,35,163.6465327,7,,,5387.831401,1102
0.073817916,351,23,06240913_proc_01110.png,3.176250458,42,34,164.6122275,7,,,4486.194309,1110
0.074482942,352,28,06240913_proc_01120.png,3.367643833,54,37,171.8155747,7,,,6276.902122,1120
0.075812995,357,30,06240913_proc_01140.png,3.758435726,54,38,179.6215612,7,,,6446.548125,1140
0.076345016,349,32,06240913_proc_01148.png,1.624809265,40,30,3.866557709,7,,,3769.911184,1148
0.076411518,351,34,06240913_proc_01149.png,2.540814638,40,32,1.623891562,7,,,4021.238597,1149
0.077675068,353,29,06240913_proc_01168.png,3.446203232,51,34,176.431167,7,,,5447.521661,1168
0.077741571,351,26,06240913_proc_01169.png,3.654261112,57,38,174.0914386,7,,,6804.689688,1169
0.077941079,350,19,06240913_proc_01172.png,2.438905716,46,30,164.4502581,7,,,4335.397862,1172
0.078938618,349,24,06240913_proc_01187.png,3.229885101,52,38,161.7185855,7,,,6207.787083,1187
0.079005121,352,24,06240913_proc_01188.png,3.647829056,58,39,172.6386202,7,,,7106.282582,1188
0.079271131,358,30,06240913_proc_01192.png,4.29681921,58,39,1.079562518,7,,,7106.282582,1192
0.079936157,353,32,06240913_proc_01202.png,3.686181545,58,38,5.730412174,7,,,6924.070209,1202
0.080268671,361,30,06240913_proc_01207.png,3.785726547,58,40,0.943050302,7,,,7288.494956,1207
0.080867194,355,31,06240913_proc_01216.png,3.760298014,54,36,164.9745435,7,,,6107.256119,1216
0.080933697,359,29,06240913_proc_01217.png,3.861874819,55,35,171.667947,7,,,6047.565858,1217
0.081199707,354,15,06240913_proc_01221.png,4.070987701,52,40,170.6677802,7,,,6534.512719,1221
0.081798231,357,27,06240913_proc_01230.png,3.583584309,56,38,171.8963707,7,,,6685.309167,1230
0.082130744,358,18,06240913_proc_01235.png,3.242744207,50,35,159.1150847,7,,,5497.787144,1235
0.082463257,350,21,06240913_proc_01240.png,3.470059156,54,35,173.5164109,7,,,5937.610115,1240
0.08252976,347,26,06240913_proc_01241.png,3.5887146,58,37,177.7274571,7,,,6741.857835,1241
0.083128284,354,19,06240913_proc_01250.png,3.922628403,51,35,164.0710631,7,,,5607.742887,1250
0.08405932,357,24,06240913_proc_01264.png,3.553808212,55,40,169.4057209,7,,,6911.503838,1264
0.084125823,357,29,06240913_proc_01265.png,3.838340759,56,38,172.6482815,7,,,6685.309167,1265
0.084391833,354,18,06240913_proc_01269.png,4.248498917,57,38,0.062219388,7,,,6804.689688,1269
